num__Alter,num__Anzahl Kunden,num__Auftragsbestand,cat__Bestandskunden_0.0,cat__Bestandskunden_1.0,cat__Skill Level_1.0,cat__Skill Level_2.0,cat__Skill Level_3.0,cat__Skill Level_4.0,cat__Skill Level_5.0,cat__Kunden Kategorie_0,cat__Kunden Kategorie_1,cat__Kunden Kategorie_2,cat__Kunden Kategorie_3
1.5310856461393505,-0.7334824572271101,1.153065600286398,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.7868926229162405,-1.180727857975348,-0.4308157187883242,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.7868926229162405,2.6953989485093803,0.20273680884156461,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6648937666501568,0.7573355452670162,-0.7475919826032686,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5550947960106807,-0.28623705647887226,0.20273680884156461,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.7868926229162405,-0.5844006569776975,-0.9059801145107408,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.42089605411798925,-1.3298096582247607,-0.1140394549733798,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.1528891917144917,-0.13715525622945962,0.8362893364714534,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7990925085428482,-0.13715525622945962,0.8362893364714534,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.4330959397445969,0.7573355452670162,0.8362893364714534,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-1.030890335448408,-0.43531885672828485,-0.1140394549733798,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.5310856461393505,0.9064173455164288,0.8362893364714534,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.05489948531973803,1.0554991457658414,-1.5395326421406297,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.2988971978519055,-1.4788914584741732,-1.0643682464182131,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9088914791823242,-0.5844006569776975,-0.4308157187883242,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.05489948531973803,0.7573355452670162,-0.4308157187883242,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
